timestamp,tick,rpm,pressure_bar,coolant_flow_lpm,temperature_c,vibration_mm_s,bearing_wear,defect_rate,reject_count,kwh_per_unit
2026-09-24T20:26:37.011017+00:00,742,1450.18,14.97,4.82,46.85,19.63,1.0,0.7246,72,4.14
2026-09-24T20:26:37.062183+00:00,743,1450.15,14.98,5.05,46.11,19.74,1.0,0.7234,72,4.09
2026-09-24T20:26:37.112859+00:00,744,1449.95,15.04,5.0,46.15,19.74,1.0,0.726,72,4.14
2026-09-24T20:26:37.163830+00:00,745,1449.96,15.05,4.96,46.17,19.48,1.0,0.721,73,4.14
2026-09-24T20:26:37.214757+00:00,746,1449.67,14.99,4.98,46.37,19.46,1.0,0.7211,72,4.13
2026-09-24T20:26:37.265942+00:00,747,1449.39,14.91,5.05,45.77,19.59,1.0,0.7214,71,4.14
2026-09-24T20:26:37.316505+00:00,748,1449.27,14.98,4.85,46.66,19.53,1.0,0.7198,72,4.14
2026-09-24T20:26:37.367379+00:00,749,1449.95,15.04,4.95,46.76,19.64,1.0,0.7242,73,4.09
2026-09-24T20:26:37.417934+00:00,750,1450.18,15.06,5.04,46.63,19.7,1.0,0.7248,71,4.13
2026-09-24T20:26:37.468890+00:00,751,1451.03,14.93,5.02,45.75,20.0,1.0,0.7288,72,4.1
2026-09-24T20:26:37.520013+00:00,752,1449.75,14.97,5.04,46.28,19.82,1.0,0.725,73,4.14
2026-09-24T20:26:37.571597+00:00,753,1450.57,14.98,4.81,46.23,19.76,1.0,0.7234,72,4.15
2026-09-24T20:26:37.622159+00:00,754,1449.79,14.96,4.96,45.89,19.83,1.0,0.7221,71,4.12
2026-09-24T20:26:37.673314+00:00,755,1449.81,15.03,5.09,46.5,19.87,1.0,0.7231,73,4.13
2026-09-24T20:26:37.723853+00:00,756,1450.14,15.0,4.83,46.56,19.71,1.0,0.7234,72,4.11
2026-09-24T20:26:37.774638+00:00,757,1449.6,14.97,5.21,45.59,19.51,1.0,0.7223,71,4.14
2026-09-24T20:26:37.825315+00:00,758,1449.84,14.87,5.0,45.81,19.71,1.0,0.7228,72,4.13
2026-09-24T20:26:37.876358+00:00,759,1450.26,15.08,5.04,46.65,19.98,1.0,0.725,72,4.11
2026-09-24T20:26:37.927075+00:00,760,1450.03,15.09,5.04,45.93,19.6,1.0,0.7242,72,4.12
2026-09-24T20:26:37.978338+00:00,762,1449.98,15.0,5.03,46.31,19.74,1.0,0.7236,71,4.09
2026-09-24T20:26:38.028806+00:00,763,1449.19,15.07,5.04,46.0,19.64,1.0,0.7209,71,4.14
2026-09-24T20:26:38.079919+00:00,764,1450.32,15.02,4.88,46.38,19.73,1.0,0.7256,72,4.14
2026-09-24T20:26:38.130770+00:00,765,1450.15,14.97,5.19,45.76,19.55,1.0,0.7216,72,4.12
2026-09-24T20:26:38.181665+00:00,766,1450.05,15.05,4.98,46.23,19.6,1.0,0.725,72,4.14
2026-09-24T20:26:38.232283+00:00,767,1449.79,15.01,4.89,46.24,19.57,1.0,0.7229,72,4.14
2026-09-24T20:26:38.283646+00:00,768,1449.73,15.0,4.91,46.79,19.6,1.0,0.7228,71,4.14
2026-09-24T20:26:38.334080+00:00,769,1449.38,15.04,5.17,46.21,19.56,1.0,0.7198,71,4.14
2026-09-24T20:26:38.385228+00:00,770,1450.34,14.96,5.04,45.92,19.89,1.0,0.7257,72,4.14
2026-09-24T20:26:38.435908+00:00,771,1450.82,14.97,5.1,46.7,19.88,1.0,0.727,72,4.12
2026-09-24T20:26:38.487154+00:00,772,1449.36,14.98,4.96,46.0,19.52,1.0,0.7212,71,4.08
2026-09-24T20:26:38.537846+00:00,773,1449.89,14.96,5.02,46.28,19.44,1.0,0.7228,71,4.16
2026-09-24T20:26:38.588588+00:00,774,1449.44,15.07,5.08,46.4,19.67,1.0,0.7202,72,4.13
2026-09-24T20:26:38.639076+00:00,775,1450.19,15.05,5.02,46.58,19.74,1.0,0.7247,71,4.11
2026-09-24T20:26:38.690075+00:00,776,1450.59,15.02,5.0,46.28,19.53,1.0,0.7244,72,4.17
2026-09-24T20:26:38.740682+00:00,777,1448.94,15.06,5.03,45.65,19.44,1.0,0.7179,72,4.1
2026-09-24T20:26:38.791507+00:00,778,1449.34,14.92,4.96,46.49,19.64,1.0,0.7202,71,4.14
2026-09-24T20:26:38.842678+00:00,779,1450.34,15.0,5.17,45.87,19.61,1.0,0.7239,72,4.12
2026-09-24T20:26:38.893586+00:00,780,1449.4,15.04,4.97,46.31,19.61,1.0,0.7193,72,4.1
2026-09-24T20:26:38.944295+00:00,781,1450.04,14.97,4.98,45.98,19.63,1.0,0.7235,72,4.11
2026-09-24T20:26:38.995121+00:00,782,1449.47,15.03,5.11,45.74,19.72,1.0,0.7222,72,4.14
2026-09-24T20:26:39.045699+00:00,783,1449.4,14.95,4.9,46.39,19.61,1.0,0.7221,70,4.14
2026-09-24T20:26:39.096530+00:00,784,1449.71,14.98,5.09,46.07,19.95,1.0,0.7226,71,4.13
2026-09-24T20:26:39.147081+00:00,785,1450.43,15.01,5.36,45.43,20.08,1.0,0.7281,72,4.13
2026-09-24T20:26:39.198071+00:00,786,1450.44,15.0,5.02,45.97,19.54,1.0,0.7235,72,4.13
2026-09-24T20:26:39.248531+00:00,787,1449.2,14.96,4.99,46.19,19.54,1.0,0.7195,72,4.13
2026-09-24T20:26:39.299293+00:00,788,1449.57,15.0,5.14,45.65,19.77,1.0,0.7211,72,4.11
2026-09-24T20:26:39.351376+00:00,789,1450.1,14.97,4.92,46.35,19.56,1.0,0.7238,73,4.11
